Length,Weight,Fec,SC,Year
353,300,96609,Spring,1970s
332,255,78126,Spring,1970s
366,360,44776,Spring,1970s
362,322,103721,Spring,1970s
347,320,114795,Spring,1970s
337,352,94819,Spring,1970s
358,377,77735,Spring,1970s
343,335,139460,Spring,1970s
363,418,167280,Spring,1970s
336,296,87914,Spring,1970s
325,275,120236,Fall,1970s
364,407,187758,Fall,1970s
370,425,201657,Fall,1970s
286,225,100690,Fall,1970s
304,234,77021,Fall,1970s
296,232,58484,Fall,1970s
335,369,164743,Fall,1970s
304,254,99823,Fall,1970s
310,246,76161,Fall,1970s
317,298,164939,Fall,1970s
296,246,95993,Fall,1970s
325,312,156956,Fall,1970s
335,366,154355,Fall,1970s
342,366,156390,Fall,1970s
331,345,154244,Fall,1970s
335,357,177377,Fall,1970s
329,335,143135,Fall,1970s
350,393,197522,Fall,1970s
322,328,171254,Fall,1970s
319,325,141196,Fall,1970s
312,230,82466,Spring,1970s
302,200,65808,Spring,1970s
328,324,142193,Fall,1970s
331,334,164606,Fall,1970s
343,348,226993,Fall,1970s
347,374,152477,Fall,1970s
299,225,66127,Fall,1970s
328,308,160647,Fall,1970s
299,198,59667,Spring,1970s
317,280,83879,Fall,1970s
299,227,71885,Fall,1970s
349,356,78059,Fall,1970s
314,281,90236,Fall,1970s
298,225,58991,Fall,1970s
297,222,85049,Fall,1970s
321,301,116707,Fall,1970s
337,369,145899,Fall,1970s
290,217,63516,Fall,1970s
315,285,89859,Fall,1970s
343,396,132338,Fall,1970s
324,303,99767,Fall,1970s
315,262,83922,Fall,1970s
303,230,79230,Fall,1970s
339,334,170385,Fall,1970s
302,237,67947,Fall,1970s
311,244,66239,Fall,1970s
340,308,159577,Fall,1970s
320,269,99714,Fall,1970s
317,274,72400,Fall,1970s
376,508,224608,Fall,1970s
361,433,190320,Fall,1970s
312,257,106628,Fall,1970s
345,303,151513,Fall,1970s
309,244,85574,Fall,1970s
326,319,119949,Fall,1970s
303,232,60903,Fall,1970s
310,255,100519,Fall,1970s
343,342,175621,Fall,1970s
330,309,92688,Fall,1970s
337,353,184202,Fall,1970s
329,310,152873,Fall,1970s
296,222,74970,Fall,1970s
302,214,65798,Fall,1970s
334,305,153221,Fall,1970s
301,224,60340,Fall,1970s
326,311,156851,Fall,1970s
290,207,53318,Fall,1970s
350,430,208007,Fall,1970s
375,475,254230,Fall,1970s
312,240,59542,Fall,1970s
313,249,61947,Fall,1970s
330,318,172190,Fall,1970s
269,130,28237,Spring,1970s
282,169,39362,Spring,1970s
283,156,33577,Spring,1970s
